District,grid_lat,grid_lon,Latitude,Longitude,q_i,w_i,point_count,district_eps,Service,service_category
Alipurduar,26.0,89.7,26.529199570000003,89.55383294999999,221.70183129729037,2.0490853912161295,20,0.6540853912161296,RG Petrol Pump Pro Avik Paul Nimti Chowpathi Kalchini Alipurduar 9735055998 [aggregated node],Food/Lodging
Alipurduar,27.3,89.7,26.69212621818182,89.32596540909091,121.5297572135097,2.0431763003070387,11,0.6540853912161296,Maa Krishna Service Station Pro Subrata Roy Dakshin Satali Alipurduar 9800815464 [aggregated node],Food/Lodging
Bankura,23.400000000000002,87.10000000000001,23.249070102173913,87.11568676086956,517.3070141777839,2.078869642270565,46,0.6653913814009995,MS Santima Filling Station Bhedua Mob9475167241 MS Jit Filling Station Sankarhati Mob9800111779 MS Standard Automobiles Gobinda Nagar Mob9732012797 MS Balabux Kanahaiyalal Petrol Pump Bankura Mob9434013665 Rambhagat Hariogopal Bima More Mob9748666555 Rambhagat Rani Prasad Machantala Lalji Raja  Sons Dhaldanga Mob9732524442 [aggregated node],Fuel Station
Birbhum,23.400000000000002,87.10000000000001,23.823131124,87.536647312,289.05767225593473,2.1628767225593473,25,0.7580767225593473,Sani Service Station Plot No 55 1419 18  21 Lno Mouza Tilpara PS Suri Mob 9434006220 [aggregated node],Fuel Station
Birbhum,23.400000000000002,88.4,23.816155,87.79844489999999,11.53230689023739,2.1580767225593473,1,0.7580767225593473,Fullara Filling Station Labpur Birbhum 731303 [aggregated node],Fuel Station
Birbhum,24.7,87.10000000000001,24.0763414,87.7098723,11.15730689023739,2.0980767225593473,1,0.7580767225593473,Sree Dhaba Mallarpur [aggregated node],Food/Lodging
Birbhum,24.7,88.4,24.228366975,87.81835235,184.76691024379824,2.1605767225593473,16,0.7580767225593473,Reliance Filling Station Rampurhat Munsuba [aggregated node],Food/Lodging
Dakshin Dinajpur,24.7,88.4,25.296774442857146,88.78914622857143,74.7295629136697,1.9503415326310605,7,0.5617701040596319,Patha Sathi Patiram Thinkona More Balurghat [aggregated node],Other
Dakshin Dinajpur,26.0,88.4,25.4579038,88.77464839999999,11.747080416238528,2.1217701040596317,1,0.5617701040596319,PK Automobiles Khanpur 9733341570 [aggregated node],Vehicle Repair
Darjeeling,26.0,88.4,26.551135815789472,88.28849728947368,190.79458366732396,1.8008497850963683,19,0.4282182061489996,Gourango Shil Goshpukur Main Road Moilani Jote 8945972827 [aggregated node],Fuel Station
Darjeeling,27.3,88.4,26.813325877419356,88.35491858064516,646.1981151249519,1.8617665932457739,62,0.4282182061489996,Maheswari Auto Service Lebong Cart Rd 2253239 [aggregated node],Vehicle Repair
Hooghly,22.1,87.10000000000001,21.7840281,87.68030279999999,20.99773100461296,1.8997163755766202,2,0.4997163755766201,HP Pump Kantai Ph9933442081 [aggregated node],Fuel Station
Hooghly,22.1,88.4,22.69255276470588,88.31283070882353,356.8364270784203,1.8991281402825024,34,0.4997163755766201,Shiv Shankar Dhaba Khaldhar Gurap Mob7063301291 [aggregated node],Food/Lodging
Hooghly,23.400000000000002,87.10000000000001,22.90689592727273,87.67406655454546,116.11252052537128,1.908807284667529,11,0.4997163755766201,Biswakarma Motor Garage Sugandhya opposite Jaya Biscuit Company OwnerBhagaban Shaw9131195964 [aggregated node],Fuel Station
Hooghly,23.400000000000002,88.4,22.874593976923077,88.19885602820513,414.0807545899527,1.9186907345509792,39,0.4997163755766201,Renu Service Station at Basipur Gurap Hooghly Mob9143040928 [aggregated node],Vehicle Repair
Howrah,22.1,88.4,22.5985963375,88.29422316458333,477.91368427932815,1.7704618972881674,48,0.38171189728816757,Sen Service Station 9007968248 [aggregated node],Fuel Station
Jalpaiguri,26.0,88.4,26.5635165,88.7670251,184.6497942571484,1.9633057978992412,17,0.5150705037815941,Nanu Garage LRP More [aggregated node],Vehicle Repair
Jalpaiguri,27.3,88.4,26.784925581818182,88.56730828181819,114.41310216639013,1.8896159583270489,11,0.5150705037815941,Fulbari Petrol Pump Fulbari 9832300906 [aggregated node],Other
Jhargram,22.1,87.10000000000001,22.392883483333332,86.98759450666667,307.15960368260875,1.8177883640217398,30,0.3877883640217397,Guin Brothers Lodhasuli Jhargram 721513 8001200461 [aggregated node],Vehicle Repair
Kalimpong,27.3,88.4,27.02492799090909,88.50055931818181,124.61049272608837,2.1050111983201902,11,0.7013748346838267,Ratiram Banshilal Petrol Pump 10th mile Kalimpong Phno 9832047800 [aggregated node],Fuel Station
Malda,24.7,88.4,25.063009257894738,88.09683005263157,214.70887369211528,2.1060378117383594,19,0.7165641275278329,Reliance Petro Marketing Pvt Ltd Pandua [aggregated node],Other
Malda,26.0,88.4,25.42684795,88.09356212499999,46.21502604044532,2.146564127527833,4,0.7165641275278329,MS Bengal Oil Company Narayanpur [aggregated node],Fuel Station
Murshidabad,23.400000000000002,88.4,23.95146431111111,88.19384111111111,107.90364092271679,2.2548233589643556,9,0.8237122478532444,May Filling Station Khargram 9432139097 [aggregated node],Fuel Station
Murshidabad,24.7,88.4,24.413997175000002,88.12838932999999,706.1909394847786,2.2197122478532445,60,0.8237122478532444,MD Ghosh Filling Station Farakka 9434124831 [aggregated node],Fuel Station
Nadia,22.1,88.4,22.6786756,88.40657809999999,21.792463734328955,2.032807966791119,2,0.6928079667911192,Hotel Krishna Kanan Kalyani NH34 [aggregated node],Food/Lodging
Nadia,23.400000000000002,88.4,23.29159360128205,88.5081743076923,873.1560856388293,2.080500274483427,78,0.6928079667911192,Geeta Fuel Point Kalyani 7003192813 [aggregated node],Food/Lodging
Paschim Burdwan,23.400000000000002,87.10000000000001,23.597245634920636,87.25186666666666,673.5914727789905,1.9413748919801208,63,0.529628860234089,HP Petroleum Pump 4 Point Pother Sathi Service Station Salanpur Mob9732153367 [aggregated node],Food/Lodging
Paschim Burdwan,23.400000000000002,88.4,23.254501,87.857601,10.618515440936356,1.929628860234089,1,0.529628860234089,Westren Motor HP Petrol Pump Jubli More [aggregated node],Fuel Station
Paschim Medinipur,22.1,87.10000000000001,22.44577138888889,87.36998786111111,210.37458476755228,2.1843692328826703,18,0.7621470106604482,Nundy Brothers Chandrakona Rd 9635608944 [aggregated node],Fuel Station
Purba Medinipur,22.1,87.10000000000001,22.025822752941178,87.57922817647058,360.7828121157438,1.9470059714392927,34,0.5811236184981162,Punaji Dhaba Babalichak 8967792958 [aggregated node],Food/Lodging
Purba Medinipur,22.1,88.4,22.180249974285715,87.89827556285714,756.9646131794725,1.9794093327838302,70,0.5811236184981162,Shree Krishna Filling Station NH116B Thakurnagar 9730957081 [aggregated node],Food/Lodging
Purulia,23.400000000000002,85.8,23.36895569090909,86.34069963181818,229.81181567240685,1.889054723550078,22,0.4936001780955323,Shea Saran Lal Lilu B T Sarkar Rd Ph 9434001147 [aggregated node],Food/Lodging
Purulia,23.400000000000002,87.10000000000001,23.540369696,86.632462856,267.11001780955326,1.9272001780955323,25,0.4936001780955323,SK Karim Ph 8637377377 [aggregated node],Vehicle Repair
South 24 Parganas,22.1,88.4,22.213503457894735,88.28894664035087,675.4024581829748,2.230580956942872,57,0.8186511323814682,Reliance Pump at Khariberia [aggregated node],Fuel Station
South 24 Parganas,23.400000000000002,88.4,22.9867569,87.8549755,47.098418118103496,2.2186511323814684,4,0.8186511323814682,HP Pump at DHBATA [aggregated node],Fuel Station
Uttar Dinajpur,24.7,88.4,25.3317708,88.16268219999999,10.858866857394547,2.0234667143486367,1,0.6834667143486368,HOTEL HINDUSTHAN BANGER NATIONAL PARKING ITAHAR [aggregated node],Food/Lodging
Uttar Dinajpur,26.0,88.4,25.99635064736842,88.12745275789473,214.3184702904964,2.090835135401268,19,0.6834667143486368,LOKNATH FUEL ITAHAR 9434052728 [aggregated node],Food/Lodging
